person_id,person_lat,person_lon,assigned_centre_id,centre_lat,centre_lon,distance_km,method_name
0,2.868614641,101.6733259,0,2.8648313,101.6948757,2.4299232868596445,Method3_SpatialIndex
1,2.878382755,101.6075081,44,2.892747792,101.5954677,2.0831120156209755,Method3_SpatialIndex
2,2.871754109,101.5995145,44,2.892747792,101.5954677,2.3772578375860878,Method3_SpatialIndex
3,3.027363093,101.6525458,2,3.0207071,101.6508314,0.7642031025217652,Method3_SpatialIndex
4,2.997368248,101.6260426,19,3.010184558,101.6119755,2.1144519401108983,Method3_SpatialIndex
5,2.998981784,101.7509211,92,2.984406382,101.7572832,1.7679937577978209,Method3_SpatialIndex
6,3.003245141,101.7019123,40,3.011591111,101.6989925,0.9830347255836543,Method3_SpatialIndex
7,2.979979068,101.660042,70,3.02051337,101.6539062,4.558415019440913,Method3_SpatialIndex
8,2.974331525,101.6818742,40,3.011591111,101.6989925,4.558332979851693,Method3_SpatialIndex
9,2.924833297,101.6790292,0,2.8648313,101.6948757,6.9001005478344,Method3_SpatialIndex
10,2.930084895,101.6327967,44,2.892747792,101.5954677,5.866961498040905,Method3_SpatialIndex
11,2.905248705,101.6631038,0,2.8648313,101.6948757,5.713799683687442,Method3_SpatialIndex
12,2.865442095,101.7079675,0,2.8648313,101.6948757,1.4555074528065166,Method3_SpatialIndex
13,2.870785449,101.6637841,0,2.8648313,101.6948757,3.5157994565508486,Method3_SpatialIndex
14,2.923429615,101.6874772,0,2.8648313,101.6948757,6.567433287402835,Method3_SpatialIndex
15,2.933322428,101.6213325,44,2.892747792,101.5954677,5.34841950752232,Method3_SpatialIndex
16,2.969627046,101.7295281,58,2.953132929,101.7549165,3.3633595359718975,Method3_SpatialIndex
17,2.964737083,101.6546251,70,3.02051337,101.6539062,6.202553876273215,Method3_SpatialIndex
18,3.011694219,101.6921315,40,3.011591111,101.6989925,0.7619409868211728,Method3_SpatialIndex
19,2.994874964,101.5954257,71,2.999343202,101.5837613,1.3872716871435504,Method3_SpatialIndex
20,2.875612524,101.7194121,0,2.8648313,101.6948757,2.9769525087414266,Method3_SpatialIndex
21,2.979110964,101.6978832,40,3.011591111,101.6989925,3.61372757259544,Method3_SpatialIndex
22,2.875177924,101.710808,0,2.8648313,101.6948757,2.110520819709275,Method3_SpatialIndex
23,3.023215337,101.6596454,70,3.02051337,101.6539062,0.7045539363260617,Method3_SpatialIndex
24,2.957880549,101.6741585,40,3.011591111,101.6989925,6.578267672744135,Method3_SpatialIndex
25,2.899978285,101.655758,0,2.8648313,101.6948757,5.843434157389415,Method3_SpatialIndex
26,2.903958771,101.7145541,0,2.8648313,101.6948757,4.868786183031886,Method3_SpatialIndex
27,2.97867389,101.6057349,71,2.999343202,101.5837613,3.35201840395005,Method3_SpatialIndex
28,2.884191793,101.7202739,0,2.8648313,101.6948757,3.5482769282432316,Method3_SpatialIndex
29,2.880562195,101.6538193,0,2.8648313,101.6948757,4.8835404236951625,Method3_SpatialIndex
30,2.899348157,101.6305405,44,2.892747792,101.5954677,3.9634808267657315,Method3_SpatialIndex
31,2.876504445,101.6763956,0,2.8648313,101.6948757,2.428329771314312,Method3_SpatialIndex
32,2.91271759,101.6377641,44,2.892747792,101.5954677,5.195541118428187,Method3_SpatialIndex
33,2.965066031,101.7314187,58,2.953132929,101.7549165,2.9273510311096653,Method3_SpatialIndex
34,3.033170406,101.6217648,19,3.010184558,101.6119755,2.777455434222351,Method3_SpatialIndex
35,2.876050299,101.6626296,0,2.8648313,101.6948757,3.7921697252800293,Method3_SpatialIndex
36,2.98033245,101.6745695,40,3.011591111,101.6989925,4.40864732434513,Method3_SpatialIndex
37,2.98247053,101.6965303,40,3.011591111,101.6989925,3.2495832096880566,Method3_SpatialIndex
38,3.025388535,101.7191234,40,3.011591111,101.6989925,2.7111920890722905,Method3_SpatialIndex
39,3.041366842,101.6079071,19,3.010184558,101.6119755,3.4966174162175516,Method3_SpatialIndex
40,2.89689959,101.6868165,0,2.8648313,101.6948757,3.676437677166669,Method3_SpatialIndex
41,2.998588255,101.6805767,40,3.011591111,101.6989925,2.504439246873841,Method3_SpatialIndex
42,2.98363794,101.7171344,40,3.011591111,101.6989925,3.703990014468119,Method3_SpatialIndex
43,2.875714068,101.7301453,0,2.8648313,101.6948757,4.099550732685769,Method3_SpatialIndex
44,2.966687839,101.7262137,58,2.953132929,101.7549165,3.52575528273589,Method3_SpatialIndex
45,2.997984921,101.7070492,40,3.011591111,101.6989925,1.7576554318471382,Method3_SpatialIndex
46,2.926404646,101.633632,44,2.892747792,101.5954677,5.6540676966096255,Method3_SpatialIndex
47,2.894036896,101.6365897,44,2.892747792,101.5954677,4.56897768268338,Method3_SpatialIndex
48,2.964561169,101.6494272,70,3.02051337,101.6539062,6.2414491453832115,Method3_SpatialIndex
49,3.021570387,101.6850049,40,3.011591111,101.6989925,1.9088547259236808,Method3_SpatialIndex
50,2.993935253,101.6821272,40,3.011591111,101.6989925,2.713218044523658,Method3_SpatialIndex
51,2.98352282,101.6893011,40,3.011591111,101.6989925,3.3013759667382656,Method3_SpatialIndex
52,2.862087154,101.596109,44,2.892747792,101.5954677,3.4100511880154194,Method3_SpatialIndex
53,2.930836973,101.6708952,0,2.8648313,101.6948757,7.807707914800199,Method3_SpatialIndex
54,2.957380967,101.6090424,31,2.964791466,101.5760739,3.7526220531653824,Method3_SpatialIndex
55,2.924223156,101.6709885,0,2.8648313,101.6948757,7.11694074915761,Method3_SpatialIndex
56,2.925008123,101.6925791,0,2.8648313,101.6948757,6.696216225490001,Method3_SpatialIndex
57,3.03454652,101.6974087,40,3.011591111,101.6989925,2.5585762899954934,Method3_SpatialIndex
58,2.859970918,101.5924488,44,2.892747792,101.5954677,3.6600098127197733,Method3_SpatialIndex
59,2.963469126,101.6148565,31,2.964791466,101.5760739,4.309168118280818,Method3_SpatialIndex
60,2.865257637,101.7171849,97,2.853399834,101.7005308,2.271416939302819,Method3_SpatialIndex
61,2.852821273,101.6004931,44,2.892747792,101.5954677,4.474567474665012,Method3_SpatialIndex
62,3.017390739,101.6383098,2,3.0207071,101.6508314,1.4384764399910739,Method3_SpatialIndex
63,2.987559618,101.6155999,19,3.010184558,101.6119755,2.547767284567908,Method3_SpatialIndex
64,2.984993821,101.7060503,40,3.011591111,101.6989925,3.0595624868003797,Method3_SpatialIndex
65,2.951799048,101.7012394,58,2.953132929,101.7549165,5.962543566850062,Method3_SpatialIndex
66,2.928544762,101.6787552,0,2.8648313,101.6948757,7.307302227582045,Method3_SpatialIndex
67,2.937455499,101.7077072,58,2.953132929,101.7549165,5.524738299953875,Method3_SpatialIndex
68,2.936103262,101.6412754,44,2.892747792,101.5954677,7.00847210705147,Method3_SpatialIndex
69,2.983597561,101.7057251,40,3.011591111,101.6989925,3.201260779130124,Method3_SpatialIndex
70,2.857168144,101.6706011,0,2.8648313,101.6948757,2.827309252557137,Method3_SpatialIndex
71,2.914720655,101.5935446,44,2.892747792,101.5954677,2.452586878061575,Method3_SpatialIndex
72,3.003463254,101.6433701,2,3.0207071,101.6508314,2.0887708928834363,Method3_SpatialIndex
73,3.001389961,101.6640431,70,3.02051337,101.6539062,2.4059714717370015,Method3_SpatialIndex
74,2.948987518,101.7115368,58,2.953132929,101.7549165,4.839209222476385,Method3_SpatialIndex
75,2.863815612,101.6035069,44,2.892747792,101.5954677,3.338694684280847,Method3_SpatialIndex
76,2.913057189,101.6172668,44,2.892747792,101.5954677,3.310647733627751,Method3_SpatialIndex
77,2.889854969,101.5953391,44,2.892747792,101.5954677,0.3219841212553232,Method3_SpatialIndex
78,3.031891737,101.6994091,40,3.011591111,101.6989925,2.2578005661068175,Method3_SpatialIndex
79,3.040246291,101.6305032,5,3.046107137,101.6481434,2.0643036567381787,Method3_SpatialIndex
80,2.991451718,101.6140631,19,3.010184558,101.6119755,2.0958560187110917,Method3_SpatialIndex
81,2.960706882,101.6426445,19,3.010184558,101.6119755,6.470433183141887,Method3_SpatialIndex
82,2.943143056,101.6172424,31,2.964791466,101.5760739,5.166674394123094,Method3_SpatialIndex
83,3.013786659,101.7117871,40,3.011591111,101.6989925,1.4415513519211607,Method3_SpatialIndex
84,2.943148971,101.6369307,31,2.964791466,101.5760739,7.173677642324191,Method3_SpatialIndex
85,2.856148418,101.6282596,44,2.892747792,101.5954677,5.461152562708902,Method3_SpatialIndex
86,2.874627311,101.7114194,0,2.8648313,101.6948757,2.135897430954339,Method3_SpatialIndex
87,2.970652378,101.7283474,58,2.953132929,101.7549165,3.535515014484505,Method3_SpatialIndex
88,2.972920273,101.6929083,40,3.011591111,101.6989925,4.352752821274178,Method3_SpatialIndex
89,2.859303854,101.6691371,0,2.8648313,101.6948757,2.923763806498595,Method3_SpatialIndex
90,2.993059956,101.7432907,92,2.984406382,101.7572832,1.8275999514633487,Method3_SpatialIndex
91,2.982521775,101.6500929,70,3.02051337,101.6539062,4.245641126700702,Method3_SpatialIndex
92,2.970379065,101.7139199,40,3.011591111,101.6989925,4.873146451914535,Method3_SpatialIndex
93,2.976815649,101.7398043,92,2.984406382,101.7572832,2.116519211868068,Method3_SpatialIndex
94,2.926026782,101.6704816,0,2.8648313,101.6948757,7.324058512679188,Method3_SpatialIndex
95,3.0234592,101.6245811,19,3.010184558,101.6119755,2.034220368576648,Method3_SpatialIndex
96,2.952013919,101.6520346,70,3.02051337,101.6539062,7.619626296841387,Method3_SpatialIndex
97,3.014120997,101.7396237,39,3.024171054,101.7620381,2.7282786222359623,Method3_SpatialIndex
98,2.95971952,101.6295908,19,3.010184558,101.6119755,5.942614556157176,Method3_SpatialIndex
99,3.029760514,101.7455889,15,3.043574841,101.7516706,1.677971257284732,Method3_SpatialIndex
