person_id,person_lat,person_lon,assigned_centre_id,centre_lat,centre_lon,distance_km,method_name
0,2.868614641,101.6733259,0,2.8648313,101.6948757,2.4299232868598564,Method1_ParallelLoops
1,2.878382755,101.6075081,44,2.892747792,101.5954677,2.083112015621039,Method1_ParallelLoops
2,2.871754109,101.5995145,44,2.892747792,101.5954677,2.3772578375860185,Method1_ParallelLoops
3,3.027363093,101.6525458,2,3.0207071,101.6508314,0.7642031025221454,Method1_ParallelLoops
4,2.997368248,101.6260426,19,3.010184558,101.6119755,2.1144519401105413,Method1_ParallelLoops
5,2.998981784,101.7509211,92,2.984406382,101.7572832,1.7679937577973925,Method1_ParallelLoops
6,3.003245141,101.7019123,40,3.011591111,101.6989925,0.983034725583676,Method1_ParallelLoops
7,2.979979068,101.660042,70,3.02051337,101.6539062,4.558415019440984,Method1_ParallelLoops
8,2.974331525,101.6818742,40,3.011591111,101.6989925,4.558332979851707,Method1_ParallelLoops
9,2.924833297,101.6790292,0,2.8648313,101.6948757,6.900100547834623,Method1_ParallelLoops
10,2.930084895,101.6327967,44,2.892747792,101.5954677,5.866961498041341,Method1_ParallelLoops
11,2.905248705,101.6631038,0,2.8648313,101.6948757,5.713799683687385,Method1_ParallelLoops
12,2.865442095,101.7079675,0,2.8648313,101.6948757,1.4555074528057534,Method1_ParallelLoops
13,2.870785449,101.6637841,0,2.8648313,101.6948757,3.515799456550541,Method1_ParallelLoops
14,2.923429615,101.6874772,0,2.8648313,101.6948757,6.567433287402844,Method1_ParallelLoops
15,2.933322428,101.6213325,44,2.892747792,101.5954677,5.348419507522783,Method1_ParallelLoops
16,2.969627046,101.7295281,58,2.953132929,101.7549165,3.363359535971613,Method1_ParallelLoops
17,2.964737083,101.6546251,70,3.02051337,101.6539062,6.20255387627318,Method1_ParallelLoops
18,3.011694219,101.6921315,40,3.011591111,101.6989925,0.761940986820888,Method1_ParallelLoops
19,2.994874964,101.5954257,71,2.999343202,101.5837613,1.3872716871430437,Method1_ParallelLoops
20,2.875612524,101.7194121,0,2.8648313,101.6948757,2.976952508741622,Method1_ParallelLoops
21,2.979110964,101.6978832,40,3.011591111,101.6989925,3.6137275725954185,Method1_ParallelLoops
22,2.875177924,101.710808,0,2.8648313,101.6948757,2.11052081970952,Method1_ParallelLoops
